time,track,horse,total
12:53:00,Fairyhouse,Brookie (IRE),189.98389411787505
12:53:00,Fairyhouse,Conna Cottage (IRE),170.43938489840002
12:53:00,Fairyhouse,Golf Marin (FR),157.174877
13:00:00,Newcastle,Irv (IRE),123.25372
13:00:00,Newcastle,Visitant,116.6889152
13:00:00,Newcastle,Engrave,113.08399
13:23:00,Fairyhouse,Sweet Will (IRE),203.61707
13:23:00,Fairyhouse,Difficult Decision (IRE),164.22198
13:23:00,Fairyhouse,Mont Saint Vincent (FR),142.869893375
13:30:00,Newcastle,Naomis Charm (IRE),167.23900342071428
13:30:00,Newcastle,Gincident (IRE),159.32260052571428
13:30:00,Newcastle,Look Back Smiling (IRE),134.1720280425
13:45:00,Catterick,Hitman Fred (IRE),188.61568675000004
13:45:00,Catterick,Light Flicker (IRE),172.94581599999992
13:45:00,Catterick,Midnight Moss,170.99195500000002
13:53:00,Fairyhouse,Three Card Brag (IRE),224.606627096
13:53:00,Fairyhouse,Dovlator (IRE),173.31492442600003
13:53:00,Fairyhouse,Spanish Harlem (FR),168.59687862200002
14:00:00,Newcastle,Originally (IRE),161.1761472
14:00:00,Newcastle,Aurora Dawn (IRE),125.6980829625
14:00:00,Newcastle,Silver Nightfall,123.88422317299998
14:15:00,Catterick,Howlingmadmurdock (IRE),188.84017395
14:15:00,Catterick,Supreme Gift (IRE),173.07574221428573
14:15:00,Catterick,Carrigillihy,151.56977700000002
14:23:00,Fairyhouse,Firm Footings (IRE),174.10512050025
14:23:00,Fairyhouse,In Excess (FR),170.8468317
14:23:00,Fairyhouse,Birdie Or Bust (IRE),160.8187284
14:30:00,Newcastle,Dream Harder (IRE),189.3075009
14:30:00,Newcastle,Zealot,186.320212
14:30:00,Newcastle,Crystal Delight,159.24633666166665
14:45:00,Catterick,Bolsover Bill (IRE),183.485724
14:45:00,Catterick,Roccowithlove,158.61801250000002
14:45:00,Catterick,Relkadam (FR),138.30620750000003
14:53:00,Fairyhouse,Hauturiere (FR),147.720675469
14:53:00,Fairyhouse,Emily Roebling (IRE),146.83662951000002
14:53:00,Fairyhouse,Kates Hill (IRE),130.047557614
15:00:00,Newcastle,Star Shield,159.24917599999998
15:00:00,Newcastle,Fast Style (IRE),159.15535142458333
15:00:00,Newcastle,Dingle (IRE),154.51826
15:15:00,Catterick,Will Victory (FR),196.654867
15:15:00,Catterick,Happy And Fine (FR),193.17898006666672
15:15:00,Catterick,Hajey,157.15109897499994
15:23:00,Fairyhouse,So Des Flos (FR),177.47456144999998
15:23:00,Fairyhouse,Maggie Walsh (IRE),122.386409792
15:23:00,Fairyhouse,Volantis (IRE),122.3851578485
15:30:00,Newcastle,Bobby Joe Leg,133.49938
15:30:00,Newcastle,Novak,123.788507
15:30:00,Newcastle,Non Mollare (IRE),122.481531125
15:45:00,Catterick,Git Maker (FR),222.05248649285716
15:45:00,Catterick,Not What It Seems (IRE),176.62753886000002
15:45:00,Catterick,Conquredalofeurope (IRE),173.22059130000002
15:53:00,Fairyhouse,Happy Dreams (FR),142.33600349999998
15:53:00,Fairyhouse,Carbon King (IRE),138.15821814153338
15:53:00,Fairyhouse,Fox Le Bel (FR),134.29017249999995
16:00:00,Newcastle,Kasino,124.56547176785716
16:00:00,Newcastle,Wiccan,123.21127947974996
16:00:00,Newcastle,Samba Lady (IRE),117.7644437165
16:15:00,Catterick,Belle Na Bann (IRE),134.95156586799996
16:15:00,Catterick,Misty Mani,120.88227279999998
16:15:00,Catterick,Licit (IRE),120.0371891
16:55:00,Kempton,Fadi (FR),100.6216812528
16:55:00,Kempton,Boucle,94.9085790535
16:55:00,Kempton,Dafyre,91.2858120695
17:30:00,Kempton,Harry Magnus (IRE),167.41132192474996
17:30:00,Kempton,Garrick Street (IRE),140.0666832
17:30:00,Kempton,Royal Razzmatazz (IRE),118.13121303999998
18:00:00,Kempton,Bawaader (IRE),158.6777785
18:00:00,Kempton,Hes Our Star (IRE),129.3140358
18:00:00,Kempton,Laurentia (IRE),117.12763836
18:30:00,Kempton,Galaxy Gazer,133.66795393775
18:30:00,Kempton,Confederation,130.7414704
18:30:00,Kempton,Shot,121.87064943
19:00:00,Kempton,Dark Trooper (IRE),177.04486099840005
19:00:00,Kempton,Crocodile Roll,156.40432570357146
19:00:00,Kempton,Dyed In The Wool (IRE),154.41554729466668
19:30:00,Kempton,Coltor (IRE),184.176833
19:30:00,Kempton,Military Two Step (FR),171.964874
19:30:00,Kempton,Smart Champion,160.752594
20:00:00,Kempton,Solanna,153.087871
20:00:00,Kempton,Uther Pendragon (IRE),131.76180208000002
20:00:00,Kempton,Hashtagmetoo (USA),129.9585495
